k l mode
31 33 831
31 32 832
31 31 833
31 30 834
31 29 835
31 28 836
31 27 837
31 26 838
31 25 839
31 24 840
31 23 841
31 22 842
31 21 843
31 20 844
31 19 845
31 18 846
31 17 847
31 16 848
31 15 849
31 14 850
31 13 851
31 12 852
31 11 853
31 10 854
31 9 855
31 8 856
31 7 857
31 6 858
31 5 859
31 4 860
31 3 861
31 2 862
31 1 863
30 48 864
30 47 865
30 46 866
30 45 867
30 44 868
30 43 869
30 42 870
30 41 871
30 40 872
30 39 873
30 38 874
30 37 875
30 36 876
30 35 877
30 34 878
30 33 879
30 32 880
30 31 881
30 30 882
30 29 883
30 28 884
30 27 885
30 26 886
30 25 887
30 24 888
30 23 889
30 22 890
30 21 891
30 20 892
30 19 893
30 18 894
30 17 895
30 16 896
30 15 897
30 14 898
30 13 899
30 12 900
30 11 901
30 10 902
30 9 903
30 8 904
30 7 905
30 6 906
30 5 907
30 4 908
30 3 909
30 2 910
30 1 911
29 48 912
29 47 913
29 46 914
29 45 915
29 44 916
29 43 917
29 42 918
29 41 919
29 40 920
29 39 921
29 38 922
29 37 923
29 36 924
29 35 925
29 34 926
29 33 927
29 32 928
29 31 929
29 30 930
29 29 931
29 28 932
29 27 933
29 26 934
29 25 935
29 24 936
29 23 937
29 22 938
29 21 939
29 20 940
29 19 941
29 18 942
29 17 943
29 16 944
29 15 945
29 14 946
29 13 947
29 12 948
29 11 949
29 10 950
29 9 951
29 8 952
29 7 953
29 6 954
29 5 955
29 4 956
29 3 957
29 2 958
29 1 959
28 48 960
28 47 961
28 46 962
28 45 963
28 44 964
28 43 965
28 42 966
28 41 967
28 40 968
28 39 969
28 38 970
28 37 971
28 36 972
28 35 973
28 34 974
28 33 975
28 32 976
28 31 977
28 30 978
28 29 979
28 28 980
28 27 981
28 26 982
28 25 983
28 24 984
28 23 985
28 22 986
28 21 987
28 20 988
28 19 989
28 18 990
28 17 991
28 16 992
28 15 993
28 14 994
28 13 995
28 12 996
28 11 997
28 10 998
28 9 999
28 8 1000
28 7 1001
28 6 1002
28 5 1003
28 4 1004
28 3 1005
28 2 1006
28 1 1007
27 48 1008
27 47 1009
27 46 1010
27 45 1011
27 44 1012
27 43 1013
27 42 1014
27 41 1015
27 40 1016
27 39 1017
27 38 1018
27 37 1019
27 36 1020
27 35 1021
27 34 1022
27 33 1023
27 32 1024
27 31 1025
27 30 1026
27 29 1027
27 28 1028
27 27 1029
27 26 1030
27 25 1031
27 24 1032
27 23 1033
27 22 1034
27 21 1035
27 20 1036
27 19 1037
27 18 1038
27 17 1039
27 16 1040
27 15 1041
27 14 1042
27 13 1043
27 12 1044
27 11 1045
27 10 1046
27 9 1047
27 8 1048
27 7 1049
27 6 1050
27 5 1051
27 4 1052
27 3 1053
27 2 1054
27 1 1055
26 48 1056
26 47 1057
26 46 1058
26 45 1059
26 44 1060
26 43 1061
26 42 1062
26 41 1063
26 40 1064
26 39 1065
26 38 1066
26 37 1067
26 36 1068
26 35 1069
26 34 1070
26 33 1071
26 32 1072
26 31 1073
26 30 1074
26 29 1075
